condition,seed,basin,negative_day_fraction,maximum_deficit_mm,nse_decline
zero_L365,47,07208500,0.9564622124863089,11.349785804748535,1.7773219347000122
zero_L365,47,12092000,0.8099671412924425,7.13835334777832,-0.021115422248840332
zero_L365,47,06350000,0.9994523548740416,33.524288177490234,9.817626297473907
zero_L365,47,11475560,1.0,65.32547760009766,0.014550089836120605
zero_L365,47,08190500,1.0,17.83177947998047,82.44393146038055
zero_L365,47,11522500,1.0,12.748732566833496,-0.012082397937774658
zero_L365,47,12383500,0.8168127053669222,0.7644187808036804,0.0006274580955505371
zero_L365,47,12035000,1.0,22.182029724121094,0.027646303176879883
zero_L365,47,09404450,0.9989047097480832,71.53076171875,14.830650448799133
zero_L365,47,02300700,1.0,25.22769546508789,0.7112438082695007
zero_L365,47,06280300,0.437842278203724,5.1110429763793945,0.019179463386535645
zero_L365,47,09513780,1.0,43.16018295288086,1.163768708705902
zero_L365,47,03455500,0.9455093099671413,14.346353530883789,0.40632522106170654
zero_L365,47,09047700,0.5254654983570646,7.390917778015137,0.4563206434249878
zero_L365,47,12411000,0.6495071193866374,26.61722183227539,0.25567448139190674
zero_L365,47,14138870,1.0,20.862333297729492,0.11723595857620239
zero_L365,47,01434025,1.0,18.605871200561523,0.24789011478424072
zero_L365,47,08158810,1.0,238.89334106445312,0.2621859908103943
zero_L365,47,02363000,1.0,163.52975463867188,2.466481626033783
zero_L365,47,10259000,1.0,78.56657409667969,1.6334264278411865
zero_L365,47,04024430,0.9983570646221248,48.860084533691406,1.5938355326652527
zero_L730,11,03364500,1.0,187.1007843017578,0.5753716826438904
zero_L730,11,11230500,0.09830230010952902,6.673233509063721,0.020670413970947266
zero_L730,11,11151300,0.9882256297918949,7.444211959838867,19.137011468410492
zero_L730,11,07208500,0.9997261774370209,52.605979919433594,2.2888196110725403
zero_L730,11,12092000,0.9764512595837898,6.639198303222656,-0.0036959052085876465
zero_L730,11,06350000,0.9997261774370209,8.953094482421875,1.9208815097808838
zero_L730,11,11475560,0.8332420591456736,127.04222106933594,0.02178966999053955
zero_L730,11,08190500,1.0,13.702296257019043,54.95321726799011
zero_L730,11,11522500,0.4427710843373494,19.80421257019043,0.03717470169067383
zero_L730,11,12383500,0.45700985761226726,5.067742347717285,0.03632313013076782
zero_L730,11,12035000,1.0,15.47516918182373,0.01339036226272583
zero_L730,11,09404450,0.9422234392113911,6.8085455894470215,13.52853786945343
zero_L730,11,02300700,1.0,78.35267639160156,0.6310958862304688
zero_L730,11,06280300,0.3329682365826944,5.155264377593994,-0.0013107061386108398
zero_L730,11,09513780,0.9824753559693319,7.660618305206299,0.26891767978668213
zero_L730,11,03455500,0.9786418400876232,17.116344451904297,0.24325603246688843
zero_L730,11,09047700,0.609802847754655,25.244869232177734,5.470970153808594
zero_L730,11,12411000,0.5191675794085433,53.79356384277344,0.05987691879272461
zero_L730,11,14138870,1.0,61.62159729003906,0.07818812131881714
zero_L730,11,01434025,0.9972617743702081,7.4249587059021,0.11275458335876465
zero_L730,11,08158810,0.9972617743702081,113.80873107910156,0.2993999719619751
zero_L730,11,02363000,1.0,245.22535705566406,1.3946447372436523
zero_L730,11,10259000,0.802026286966046,7.610716342926025,0.5659134984016418
zero_L730,11,04024430,1.0,116.60301971435547,1.2380902767181396
zero_L730,29,03364500,0.9997261774370209,110.33645629882812,0.856045126914978
zero_L730,29,11230500,0.008214676889375685,8.193737030029297,0.00037091970443725586
zero_L730,29,11151300,0.9257940854326396,5.605708599090576,3.29719078540802
zero_L730,29,07208500,1.0,8.342089653015137,4.848511159420013
zero_L730,29,12092000,1.0,12.984325408935547,-0.00038301944732666016
zero_L730,29,06350000,1.0,121.90979766845703,4.257989823818207
zero_L730,29,11475560,1.0,131.121826171875,-0.01830434799194336
zero_L730,29,08190500,1.0,30.911832809448242,10.369641065597534
zero_L730,29,11522500,0.3841730558598028,43.998653411865234,0.014749646186828613
zero_L730,29,12383500,0.004654983570646221,1.9086825847625732,0.010382533073425293
zero_L730,29,12035000,1.0,133.58628845214844,0.021183907985687256
zero_L730,29,09404450,0.9526286966046003,49.13935470581055,-0.17332828044891357
zero_L730,29,02300700,1.0,59.26186752319336,1.0118035078048706
zero_L730,29,06280300,0.5955640744797371,9.256610870361328,0.066134512424469
zero_L730,29,09513780,0.9671412924424972,7.752676010131836,0.020148813724517822
zero_L730,29,03455500,0.8975903614457831,166.1597442626953,0.5867278575897217
zero_L730,29,09047700,1.0,35.75823211669922,2.650580883026123
zero_L730,29,12411000,1.0,299.97698974609375,0.25344687700271606
zero_L730,29,14138870,1.0,147.46336364746094,0.15894222259521484
zero_L730,29,01434025,0.9906900328587076,122.10902404785156,0.32332324981689453
zero_L730,29,08158810,0.9909638554216867,65.71920776367188,0.5322637557983398
zero_L730,29,02363000,0.9983570646221248,235.04953002929688,2.3020368218421936
zero_L730,29,10259000,0.3368017524644031,3.6371817588806152,0.03552401065826416
zero_L730,29,04024430,1.0,33.031700134277344,2.092912197113037
zero_L730,47,03364500,1.0,187.2106170654297,0.7139171361923218
zero_L730,47,11230500,0.0807776560788609,7.871778964996338,0.0061419010162353516
zero_L730,47,11151300,1.0,18.971797943115234,18.75666046142578
zero_L730,47,07208500,0.9564622124863089,11.349857330322266,1.786087989807129
zero_L730,47,12092000,0.8061336254107339,7.1142578125,-0.008169770240783691
zero_L730,47,06350000,0.9994523548740416,33.524295806884766,9.824305593967438
zero_L730,47,11475560,1.0,65.32621002197266,0.013700425624847412
