seed,basin,unconstrained_nse,same_checkpoint_projected_nse,feasible_retrained_nse,same_checkpoint_nse_loss,eligible_recovery_case,recovery_fraction,paired_nse_gap_unconstrained_minus_feasible,unconstrained_kge,feasible_retrained_kge,paired_kge_gap_unconstrained_minus_feasible,unconstrained_rmse_mm_day,feasible_retrained_rmse_mm_day,unconstrained_bias_ratio,feasible_retrained_bias_ratio
11,12383500,0.6390097141265869,0.7225067615509033,0.6554912328720093,-0.0834970474243164,False,,-0.016481518745422363,0.5324648694032801,0.6117126947709468,-0.07924782536766672,0.7514632344245911,0.7341082692146301,0.8379374742507935,0.8660892844200134
11,12411000,0.7227023839950562,0.6751623153686523,0.8175010681152344,0.04754006862640381,False,,-0.09479868412017822,0.7045886139746997,0.8114140326324205,-0.10682541865772077,1.3898582458496094,1.1275286674499512,0.8904154896736145,0.9766184687614441
11,14138870,0.8141231536865234,0.7362730503082275,0.8184546232223511,0.0778501033782959,True,1.0556385842518383,-0.004331469535827637,0.8576901083024784,0.8593062765765462,-0.001616168274067853,3.0725715160369873,3.0365610122680664,1.0869483947753906,1.0951063632965088
29,01434025,0.5599862337112427,0.2366628646850586,0.4985768795013428,0.3233233690261841,True,0.8100683090280223,0.0614093542098999,0.7145183048016749,0.6760967864671232,0.03842151833455165,3.3134891986846924,3.5371592044830322,1.032713770866394,0.9903382658958435
29,02300700,0.5773495435714722,-0.40221118927001953,0.5840855240821838,0.9795607328414917,True,1.0068765317809056,-0.00673598051071167,0.7381853148889288,0.6615248438954475,0.07666047099348128,2.823505401611328,2.800915241241455,1.1275815963745117,1.2377773523330688
29,02363000,0.8172193765640259,-1.4804332256317139,0.7721010446548462,2.2976526021957397,True,0.9803632925769271,0.04511833190917969,0.8253947990076619,0.8040004727494675,0.021394326258194374,0.7464967966079712,0.8335546255111694,1.14962899684906,1.1370691061019897
29,03364500,0.6996628046035767,-0.15624117851257324,0.6524372696876526,0.8559039831161499,True,0.944823793500777,0.04722553491592407,0.7479583538489354,0.6857680983192076,0.06219025552972779,1.9009877443313599,2.0449907779693604,0.9812179207801819,0.9413325190544128
29,03455500,0.5692137479782104,-0.017391562461853027,0.5772063732147217,0.5866053104400635,True,1.0136252180030816,-0.00799262523651123,0.7304475664265625,0.7439646653812098,-0.013517098954647255,2.7407352924346924,2.715191125869751,1.1157556772232056,1.134017825126648
29,04024430,0.7507239580154419,-1.3391146659851074,0.7756361961364746,2.0898386240005493,True,1.011920651592391,-0.024912238121032715,0.7430304278051587,0.7181227381219573,0.02490768968320145,0.723950207233429,0.6868230104446411,1.1965669393539429,1.2291324138641357
29,06280300,0.8674293756484985,0.8052455186843872,0.8494465351104736,0.06218385696411133,True,0.7108117537899992,0.017982840538024902,0.8157892193332393,0.7842528903278563,0.03153632900538306,0.6128727793693542,0.6531186103820801,0.9040061235427856,0.9722655415534973
