seed,basin,nse_unconstrained_original,nse_unconstrained_fixed_reachable,nse_feasible_retrained,kge_unconstrained_original,kge_feasible_retrained,rmse_unconstrained_original_mm_day,rmse_feasible_retrained_mm_day,bias_ratio_unconstrained_original,bias_ratio_feasible_retrained,transfer_gap_nse,same_checkpoint_penalty_nse,recovery_fraction,high_skill_unconstrained_original,recovery_eligible,transfer_gap_within_0_10,recovery_at_least_0_80,feasible_retrained_beats_fixed_projection
11,01583500,-0.21815001964569092,-3.2632155418395996,-0.17513906955718994,0.400622200184816,0.4353581402210769,1.2734684944152832,1.2507843971252441,1.3053916692733765,0.9612002968788147,-0.04301095008850098,3.0450655221939087,1.0141248028244438,False,True,True,True,True
11,01586610,-0.12164366245269775,-2.0031700134277344,-0.06393158435821533,0.3012127733641754,0.44848305621100537,1.6824942827224731,1.6386380195617676,1.5233100652694702,1.23984956741333,-0.05771207809448242,1.8815263509750366,1.0306730108056021,False,True,True,True,True
11,01591400,0.2308121919631958,-1.5890634059906006,0.181321918964386,0.5931722471663667,0.5027704720022887,1.5376776456832886,1.5863744020462036,1.2054489850997925,1.3427298069000244,0.049490272998809814,1.8198755979537964,0.9728056835014135,False,True,True,True,True
11,01594950,0.4582626223564148,0.2642882466316223,0.3942265510559082,0.649100753022976,0.6636536310752998,2.16664981842041,2.291128635406494,0.8647939562797546,1.0794490575790405,0.06403607130050659,0.19397437572479248,0.6698735538586814,False,True,True,False,True
11,01596500,0.6728788018226624,0.3541162610054016,0.6438663005828857,0.7430551076385659,0.7799558518604155,1.523597240447998,1.5897263288497925,1.199747085571289,0.9450240731239319,0.02901250123977661,0.31876254081726074,0.9089839691784587,True,True,True,True,True
11,01605500,-0.8066344261169434,-1.0137977600097656,0.08515721559524536,-0.5507505317880719,0.3075371499756865,2.314347982406616,1.6468981504440308,2.4626917839050293,1.5849510431289673,-0.8917916417121887,0.20716333389282227,5.304775487797299,False,True,True,True,True
11,01606500,0.3354141116142273,-0.11537730693817139,0.4611824154853821,0.21867707967553351,0.5737806496260054,1.4519143104553223,1.30733323097229,1.749752402305603,1.237281084060669,-0.12576830387115479,0.4507914185523987,1.278994449972068,False,True,True,True,True
11,01632000,0.4724641442298889,-0.07505536079406738,0.433172345161438,0.4054463191521095,0.4775958307085374,1.4048315286636353,1.4562091827392578,1.5065866708755493,1.3310476541519165,0.03929179906845093,0.5475195050239563,0.9282367135637811,False,True,True,True,True
11,01632900,0.5552272796630859,0.3483842611312866,0.3926049470901489,0.5834750698309192,0.4999531654881967,0.883645236492157,1.0326294898986816,1.166442632675171,0.7099246382713318,0.162622332572937,0.20684301853179932,0.2137886319429436,True,True,False,False,True
11,01634500,0.3543628454208374,-0.46719932556152344,0.4385356307029724,0.36934044006215916,0.5722311969157262,1.4291174411773682,1.3327072858810425,1.5689020156860352,1.3304673433303833,-0.08417278528213501,0.8215621709823608,1.102454553355941,False,True,True,True,True
