basin_id,seed,status,original_nse,reachable_nse,nse_decline,negative_test_day_fraction,maximum_storage_deficit_mm,material_negative_storage,high_skill_original_path,nse_declines_under_ordered_path,huc_02,gauge_lat,gauge_lon,elev_mean,area_gages2,aridity,frac_snow,frac_forest,aridity_stratum,snow_stratum,area_stratum
01170100,11,complete,0.3424309492111206,0.25848621129989624,0.08394473791122437,0.4424972617743702,6.577037811279297,True,False,True,01,42.70342,-72.67065,325.71,106.99,0.575873759926214,0.234653735405934,0.997,humid,snow-influenced,small
01170100,29,complete,0.5638347864151001,0.22877663373947144,0.33505815267562866,0.5062979189485214,31.90660858154297,True,True,True,01,42.70342,-72.67065,325.71,106.99,0.575873759926214,0.234653735405934,0.997,humid,snow-influenced,small
01170100,47,complete,0.5103955268859863,0.2389991283416748,0.2713963985443115,0.8548740416210295,11.500429153442383,True,True,True,01,42.70342,-72.67065,325.71,106.99,0.575873759926214,0.234653735405934,0.997,humid,snow-influenced,small
01181000,11,complete,0.6773389577865601,0.5767651796340942,0.10057377815246582,0.9110076670317634,11.0128173828125,True,True,True,01,42.23731,-72.89565,417.93,243.5,0.593993318681319,0.217563041040592,0.9944,humid,snow-influenced,small
01181000,29,complete,0.7059699296951294,0.43701785802841187,0.26895207166671753,0.6711391018619934,156.86170959472656,True,True,True,01,42.23731,-72.89565,417.93,243.5,0.593993318681319,0.217563041040592,0.9944,humid,snow-influenced,small
01181000,47,complete,0.5358107089996338,0.4253953695297241,0.11041533946990967,0.9383899233296824,19.61855697631836,True,True,True,01,42.23731,-72.89565,417.93,243.5,0.593993318681319,0.217563041040592,0.9944,humid,snow-influenced,small
01187300,11,complete,0.6305160522460938,0.47834354639053345,0.1521725058555603,0.3143483023001095,5.6892266273498535,True,True,True,01,42.03732,-72.93899,309.1,53.92,0.57727769906224,0.201269335695146,0.9932,humid,snow-influenced,small
01187300,29,complete,0.6848266124725342,0.30276525020599365,0.3820613622665405,0.6481380065717415,113.1847152709961,True,True,True,01,42.03732,-72.93899,309.1,53.92,0.57727769906224,0.201269335695146,0.9932,humid,snow-influenced,small
01187300,47,complete,0.644697904586792,0.3084791898727417,0.3362187147140503,0.6889375684556407,20.66464614868164,True,True,True,01,42.03732,-72.93899,309.1,53.92,0.57727769906224,0.201269335695146,0.9932,humid,snow-influenced,small
01195100,11,complete,0.5858133435249329,0.15950512886047363,0.42630821466445923,0.9750821467688937,37.78367233276367,True,True,True,01,41.30593,-72.5312,19.17,14.84,0.639240948040801,0.106042892091717,0.9171,humid,snow-influenced,small
01195100,29,complete,0.64827561378479,0.03935962915420532,0.6089159846305847,0.9991785323110625,263.771240234375,True,True,True,01,41.30593,-72.5312,19.17,14.84,0.639240948040801,0.106042892091717,0.9171,humid,snow-influenced,small
01195100,47,complete,0.6383463740348816,0.04998195171356201,0.5883644223213196,0.9928806133625411,215.82522583007812,True,True,True,01,41.30593,-72.5312,19.17,14.84,0.639240948040801,0.106042892091717,0.9171,humid,snow-influenced,small
01333000,11,complete,0.32241153717041016,0.09701651334762573,0.22539502382278442,0.8463855421686747,4.61655855178833,True,False,True,02,42.70897,-73.19677,485.91,112.16,0.597283085492449,0.222244968016498,0.9844,humid,snow-influenced,small
01333000,29,complete,0.47029227018356323,0.12031775712966919,0.34997451305389404,0.8893756845564075,22.022708892822266,True,False,True,02,42.70897,-73.19677,485.91,112.16,0.597283085492449,0.222244968016498,0.9844,humid,snow-influenced,small
01333000,47,complete,0.48811596632003784,0.12825226783752441,0.3598636984825134,0.8529572836801752,12.975811004638672,True,False,True,02,42.70897,-73.19677,485.91,112.16,0.597283085492449,0.222244968016498,0.9844,humid,snow-influenced,small
01350000,11,complete,0.6916072368621826,0.562915563583374,0.1286916732788086,0.9917853231106243,10.662108421325684,True,True,True,02,42.31953,-74.43654,612.78,612.51,0.580392881071257,0.231159657658639,0.9966,humid,snow-influenced,medium
