seed,basin,negative_storage_test_day_fraction,material_negative_storage
11,02011400,0.3354326396495071,True
11,02013000,0.9849397590361446,True
11,02014000,0.4690580503833516,True
11,02015700,0.2946330777656079,True
11,02016000,0.46139101861993426,True
11,02017500,0.4197699890470975,True
11,02018000,0.4529025191675794,True
11,02027000,0.7970974808324206,True
11,02027500,0.5271084337349398,True
11,02028500,0.5733844468784228,True
11,02038850,1.0,True
11,02046000,0.8132530120481928,True
11,02051500,1.0,True
11,02053200,1.0,True
11,02053800,1.0,True
11,02055100,0.940854326396495,True
11,02056900,0.8244797371303395,True
11,02059500,0.8863636363636364,True
11,02064000,0.994249726177437,True
11,02065500,1.0,True
11,02069700,0.8250273822562979,True
11,02070000,0.9832968236582694,True
11,02074500,0.9863088718510405,True
11,02077200,0.4559145673603505,True
11,02081500,0.7661555312157722,True
11,02082950,1.0,True
11,02092500,1.0,True
11,02096846,0.9112814895947426,True
11,02102908,0.9564622124863089,True
11,02108000,0.9989047097480832,True
11,02111180,0.927710843373494,True
11,02111500,0.7029025191675794,True
11,02112120,0.5840635268346112,True
11,02112360,0.5575027382256298,True
11,02118500,0.864184008762322,True
11,02125000,0.9663198247535597,True
11,02128000,0.9038882803943045,True
11,02137727,0.9430449069003286,True
11,02140991,0.8737677984665937,True
11,02143000,0.6738773274917853,True
11,02143040,0.8058598028477546,True
11,02149000,0.8242059145673604,True
11,02152100,0.7417853231106243,True
11,02177000,0.9616648411829135,True
11,02178400,0.9326396495071194,True
11,02193340,0.9967141292442497,True
11,02196000,0.9748083242059146,True
11,02198100,0.9986308871851041,True
11,02202600,1.0,True
11,02212600,0.9926067907995619,True
11,02215100,0.7349397590361446,True
11,02216180,1.0,True
11,02221525,0.9882256297918949,True
11,02231000,1.0,True
11,02245500,1.0,True
11,02246000,1.0,True
11,02296500,1.0,True
11,02297155,1.0,True
11,02297310,1.0,True
11,02298123,1.0,True
11,02298608,1.0,True
11,02299950,1.0,True
11,02342933,0.9849397590361446,True
11,02349900,0.98986856516977,True
11,02350900,0.9994523548740416,True
11,02361000,0.9761774370208105,True
11,02369800,0.9457831325301205,True
11,02371500,1.0,True
11,02372250,1.0,True
11,02374500,0.9849397590361446,True
11,02381600,0.9058050383351588,True
11,02384540,0.8740416210295728,True
11,02395120,0.8948521358159912,True
11,02415000,0.6221248630887185,True
11,02427250,0.8420043811610076,True
11,02430085,0.7825848849945235,True
11,02450250,0.9288061336254108,True
11,02464000,0.8288608981380066,True
11,02464360,0.9222343921139102,True
11,02465493,0.8962212486308871,True
11,02469800,0.9438663745892661,True
11,02472000,1.0,True
11,02472500,1.0,True
11,02479155,1.0,True
11,02479300,0.9518072289156626,True
11,02479560,1.0,True
11,02481000,0.9307228915662651,True
11,02481510,1.0,True
11,04015330,1.0,True
11,04027000,1.0,True
11,04040500,0.9641292442497261,True
11,04043050,1.0,True
11,04045500,1.0,True
11,04057510,1.0,True
11,04057800,0.9375684556407448,True
11,04059500,1.0,True
11,04063700,1.0,True
11,04074950,1.0,True
11,04105700,1.0,True
11,04115265,1.0,True
11,04122200,0.9980832420591457,True
11,04122500,0.9991785323110625,True
11,04127918,1.0,True
11,04127997,0.9953450164293538,True
11,04161580,0.9986308871851041,True
11,04185000,1.0,True
11,04196800,1.0,True
11,04197100,1.0,True
11,04197170,1.0,True
11,04213000,0.940854326396495,True
11,04213075,0.9843921139101862,True
11,04216418,0.976998904709748,True
11,04221000,0.9876779846659365,True
11,04224775,0.9597480832420592,True
11,04233000,0.8674698795180723,True
11,04256000,0.6322562979189486,True
11,03010655,0.9969879518072289,True
11,03011800,0.9956188389923329,True
11,03015500,0.9958926615553122,True
11,03021350,0.9789156626506024,True
11,03026500,0.9964403066812705,True
11,03028000,0.9956188389923329,True
11,03049000,0.9285323110624315,True
11,03049800,0.9170317634173056,True
11,03050000,0.9986308871851041,True
11,03069500,0.9978094194961665,True
11,03070500,0.9975355969331873,True
11,03076600,0.9964403066812705,True
11,03078000,0.9956188389923329,True
11,03140000,0.9383899233296824,True
11,03144000,0.8891018619934282,True
11,03170000,0.573658269441402,True
11,03173000,0.8995071193866374,True
11,03180500,0.9994523548740416,True
11,03182500,0.9947973713033954,True
11,03186500,0.9997261774370209,True
11,03237280,0.9917853231106243,True
11,03237500,0.9006024096385542,True
11,03238500,0.9978094194961665,True
11,03241500,0.9994523548740416,True
11,03280700,0.9953450164293538,True
11,03281500,0.9934282584884995,True
11,03285000,0.854052573932092,True
11,03291780,0.9923329682365827,True
11,03338780,1.0,True
11,03340800,0.9967141292442497,True
11,03346000,0.9994523548740416,True
11,03366500,1.0,True
11,03368000,1.0,True
11,03384450,0.9490690032858707,True
11,03439000,0.9008762322015335,True
11,03456500,0.9507119386637459,True
11,03460000,0.562157721796276,True
11,03463300,0.9745345016429354,True
11,03471500,0.44386637458926614,True
11,03473000,0.42141292442497263,True
11,03479000,0.9635815991237678,True
11,03488000,0.9260679079956189,True
11,03498500,0.4241511500547645,True
11,03500000,0.7532858707557503,True
11,03500240,0.9194961664841182,True
11,03504000,0.9531763417305587,True
11,03574500,0.5449069003285871,True
11,03592718,0.7847754654983571,True
11,03604000,0.8403614457831325,True
11,05291000,1.0,True
11,05362000,1.0,True
11,05393500,1.0,True
11,05399500,1.0,True
11,05408000,0.8921139101861993,True
11,05413500,0.7727272727272727,True
11,05414000,0.8357064622124863,True
11,05444000,1.0,True
11,05454000,1.0,True
11,05458000,1.0,True
11,05466500,0.9997261774370209,True
11,05487980,0.9909638554216867,True
11,05488200,0.9994523548740416,True
11,05489000,0.9665936473165389,True
11,05495000,0.9553669222343921,True
11,05495500,1.0,True
11,05501000,1.0,True
11,05503800,1.0,True
11,05507600,1.0,True
11,05508805,1.0,True
11,05525500,1.0,True
11,05556500,1.0,True
11,05584500,1.0,True
11,05591550,1.0,True
11,05592050,1.0,True
11,05592575,0.98986856516977,True
11,05593575,1.0,True
11,05593900,1.0,True
11,05595730,1.0,True
11,07291000,1.0,True
11,07359610,0.7190580503833516,True
11,07362100,0.9553669222343921,True
11,07362587,0.9852135815991238,True
11,07375000,0.9986308871851041,True
11,08013000,1.0,True
11,08014500,0.9991785323110625,True
11,05057200,1.0,True
11,05120500,0.9813800657174151,True
11,06221400,0.47836801752464403,True
11,06224000,0.5873493975903614,True
11,06278300,0.9835706462212487,True
11,06289000,1.0,True
11,06311000,0.5602409638554217,True
11,06332515,1.0,True
11,06339100,0.9991785323110625,True
11,06344600,0.9997261774370209,True
11,06352000,1.0,True
11,06404000,0.5550383351588171,True
11,06406000,0.6054216867469879,True
11,06409000,0.7962760131434831,True
11,06431500,0.5323110624315444,True
11,06440200,0.9994523548740416,True
11,06447500,0.6347207009857613,True
11,06470800,1.0,True
11,06477500,1.0,True
11,06479215,1.0,True
11,06601000,0.9989047097480832,True
11,06614800,0.5572289156626506,True
11,06622700,0.23877327491785322,True
11,06623800,0.2850492880613363,True
11,06632400,0.24616648411829134,True
11,06746095,0.35843373493975905,True
11,06803510,1.0,True
11,06803530,1.0,True
11,06814000,1.0,True
11,06847900,0.9980832420591457,True
11,06853800,1.0,True
11,06876700,1.0,True
11,06878000,1.0,True
11,06879650,1.0,True
11,06885500,1.0,True
11,06888500,1.0,True
11,06889200,1.0,True
11,06889500,1.0,True
11,06892000,1.0,True
11,06903400,1.0,True
11,06906800,0.9693318729463308,True
11,06910800,1.0,True
11,06911900,1.0,True
11,06917000,0.9997261774370209,True
11,06918460,0.9980832420591457,True
11,06919500,0.7951807228915663,True
11,06921070,0.9997261774370209,True
11,06921200,1.0,True
11,07057500,0.9997261774370209,True
11,07060710,0.816538882803943,True
11,07066000,0.9986308871851041,True
11,07083000,0.21495071193866375,True
11,07142300,1.0,True
11,07145700,1.0,True
11,07167500,1.0,True
11,07180500,1.0,True
11,07184000,0.9928806133625411,True
11,07195800,0.9991785323110625,True
11,07196900,0.6960569550930996,True
11,07197000,0.9772727272727273,True
11,07261000,0.47562979189485216,True
11,07263295,0.9693318729463308,True
11,07299670,1.0,True
11,07301410,0.9904162102957283,True
11,07315200,1.0,True
11,07315700,0.9939759036144579,True
11,07335700,0.6656626506024096,True
11,07340300,0.9531763417305587,True
11,07346045,0.9917853231106243,True
11,08023080,0.914841182913472,True
11,08050800,0.9912376779846659,True
11,08066200,1.0,True
11,08066300,0.9906900328587076,True
11,08070000,1.0,True
11,08070200,1.0,True
11,08082700,1.0,True
11,08086212,1.0,True
11,08086290,1.0,True
11,08101000,0.9978094194961665,True
11,08103900,0.9934282584884995,True
11,08104900,0.9983570646221248,True
11,08109700,0.9438663745892661,True
11,08150800,1.0,True
11,08158700,0.9997261774370209,True
11,08164300,1.0,True
11,08164600,1.0,True
11,08165300,1.0,True
11,08171300,1.0,True
11,08175000,0.9978094194961665,True
11,08176900,0.9931544359255202,True
11,08178880,1.0,True
11,08189500,0.9920591456736035,True
11,08190000,1.0,True
11,08194200,1.0,True
11,08195000,1.0,True
11,08196000,1.0,True
11,08198500,1.0,True
11,08200000,1.0,True
11,08202700,1.0,True
11,08267500,0.9674151150054765,True
11,08269000,0.7913472070098576,True
11,08271000,0.7387732749178533,True
11,08324000,0.40525739320920046,True
11,08377900,0.6552573932092004,True
11,08378500,0.7475355969331873,True
11,08380500,0.8127053669222344,True
11,09035800,0.48055859802847756,True
11,09035900,0.593921139101862,True
11,09065500,0.7319277108433735,True
11,09066000,0.3778751369112815,True
11,09066200,0.24561883899233297,True
11,09066300,0.16210295728368018,True
11,09081600,0.5646221248630887,True
11,09107000,0.040251916757940855,True
11,09210500,0.417579408543264,True
11,09223000,0.2502738225629792,True
11,09306242,0.9783680175246441,True
11,09312600,0.7927163198247535,True
11,09352900,0.20536692223439212,True
11,09378170,0.37595837897042717,True
11,09386900,0.621303395399781,True
11,09430600,0.9690580503833516,True
11,09447800,1.0,True
11,09484600,0.9991785323110625,True
11,09492400,0.35706462212486306,True
11,09494000,0.5550383351588171,True
11,09497980,0.6056955093099672,True
11,09505350,0.916210295728368,True
11,09505800,0.8354326396495071,True
11,09508300,0.7562979189485214,True
11,09510200,0.9857612267250822,True
11,09512280,0.907447973713034,True
11,10234500,0.4088170865279299,True
11,10244950,0.9619386637458927,True
11,10336645,0.05230010952902519,True
11,10336660,0.001095290251916758,False
11,10343500,0.0038335158817086527,False
11,12010000,1.0,True
11,12013500,0.9616648411829135,True
11,12020000,1.0,True
11,12025700,0.9058050383351588,True
11,12040500,0.7727272727272727,True
11,12041200,0.8146221248630887,True
11,12048000,0.39266155531215774,True
11,12054000,0.2634173055859803,True
11,12056500,0.7866922234392114,True
11,12073500,0.4194961664841183,True
11,12082500,0.9427710843373494,True
11,12114500,0.8340635268346112,True
11,12115000,0.7261774370208105,True
11,12117000,0.526013143483023,True
11,12143600,0.8200985761226726,True
11,12144000,0.8176341730558598,True
11,12145500,0.32201533406352684,True
11,12147500,0.9671412924424972,True
11,12167000,0.35706462212486306,True
11,12175500,0.7226177437020811,True
11,12178100,0.9994523548740416,True
11,12186000,0.78039430449069,True
11,12189500,0.9737130339539978,True
11,12375900,0.16374589266155531,True
11,12377150,0.5832420591456736,True
11,12381400,0.5889923329682366,True
11,12390700,0.5777656078860898,True
11,12447390,0.3776013143483023,True
11,12451000,0.3181818181818182,True
11,12488500,0.7360350492880613,True
11,13011500,0.10898138006571742,True
11,13011900,0.1276013143483023,True
11,13018300,0.7866922234392114,True
11,13023000,0.23083242059145673,True
11,13161500,0.7316538882803943,True
11,13235000,0.27710843373493976,True
11,13240000,0.3099671412924425,True
11,13313000,0.255750273822563,True
11,13331500,0.36829134720700984,True
11,14020000,0.46276013143483025,True
11,14096850,0.17907995618838993,True
11,14137000,0.6996166484118291,True
11,14138800,0.9389375684556407,True
11,14138900,1.0,True
11,14139800,1.0,True
11,14141500,0.9997261774370209,True
11,14154500,0.5906352683461117,True
11,14158790,0.9756297918948521,True
11,14166500,0.7223439211391018,True
11,14182500,0.9561883899233297,True
11,14185000,0.5930996714129244,True
11,14185900,0.9600219058050383,True
11,14187000,0.9430449069003286,True
11,14216500,0.946604600219058,True
11,14222500,1.0,True
11,14236200,0.7116648411829135,True
11,14301000,0.6204819277108434,True
11,14303200,0.5106790799561884,True
11,14305500,0.42250821467688937,True
11,14306340,0.5733844468784228,True
11,14306500,0.6297918948521358,True
11,14308990,0.5443592552026287,True
11,14309500,0.7037239868565169,True
11,14316700,0.4819277108433735,True
11,14325000,0.6782584884994524,True
11,14362250,0.625684556407448,True
11,14400000,0.5616100766703176,True
11,11124500,0.8321467688937568,True
11,11141280,0.9222343921139102,True
11,11143000,0.012048192771084338,True
11,11148900,0.872946330777656,True
11,11176400,0.7048192771084337,True
11,11237500,0.017524644030668127,True
11,11264500,0.05941949616648412,True
11,11266500,0.06380065717415115,True
11,11284400,0.5265607886089814,True
11,11381500,0.296276013143483,True
11,11451100,0.4249726177437021,True
11,11468500,0.9403066812705367,True
11,11473900,0.3669222343921139,True
11,11476600,0.8220153340635268,True
11,11478500,0.5479189485213581,True
11,11480390,0.6095290251916758,True
11,11481200,0.8124315443592552,True
11,11482500,0.6785323110624315,True
11,11523200,0.45125958378970427,True
11,11528700,0.7201533406352684,True
11,11532500,0.5454545454545454,True
29,01022500,0.676341730558598,True
29,01031500,0.9663198247535597,True
29,01047000,0.5251916757940854,True
29,01052500,0.6366374589266156,True
29,01054200,0.7677984665936474,True
29,01055000,0.5394304490690033,True
29,01057000,0.49863088718510407,True
29,01073000,0.8430996714129244,True
29,01078000,0.6059693318729463,True
29,01123000,0.9290799561883899,True
29,01134500,0.5421686746987951,True
29,01137500,0.6848302300109529,True
29,01139000,0.453723986856517,True
29,01139800,0.7417853231106243,True
29,01142500,0.6100766703176341,True
29,01144000,0.583789704271632,True
29,01162500,1.0,True
29,01169000,0.778751369112815,True
29,01170100,0.5062979189485214,True
29,01181000,0.6711391018619934,True
29,01187300,0.6481380065717415,True
29,01195100,0.9991785323110625,True
29,04296000,0.5164293537787513,True
29,01333000,0.8893756845564075,True
29,01350000,0.877053669222344,True
29,01350080,0.9750821467688937,True
29,01350140,0.9893209200438116,True
29,01365000,0.9893209200438116,True
29,01411300,1.0,True
29,01413500,0.8956736035049289,True
29,01414500,0.9860350492880613,True
29,01415000,0.9504381161007667,True
29,01423000,0.9822015334063526,True
29,01435000,0.9813800657174151,True
29,01439500,1.0,True
29,01440000,0.8263964950711938,True
29,01440400,0.9997261774370209,True
29,01451800,0.8732201533406353,True
29,01466500,1.0,True
29,01484100,0.9687842278203724,True
29,01487000,0.93921139101862,True
29,01491000,0.9471522453450164,True
29,01510000,0.9986308871851041,True
29,01516500,1.0,True
29,01518862,1.0,True
29,01532000,0.9972617743702081,True
29,01539000,1.0,True
29,01542810,1.0,True
29,01543000,0.9994523548740416,True
29,01543500,1.0,True
29,01544500,1.0,True
29,01545600,0.9832968236582694,True
29,01547700,0.9953450164293538,True
29,01548500,0.9989047097480832,True
29,01549500,0.9912376779846659,True
29,01550000,0.9457831325301205,True
29,01552000,0.9912376779846659,True
29,01552500,1.0,True
29,01557500,0.9895947426067908,True
29,01567500,0.8157174151150055,True
29,01568000,0.8253012048192772,True
29,01580000,0.9983570646221248,True
29,01583500,0.9186746987951807,True
29,01586610,0.9520810514786419,True
29,01591400,0.9934282584884995,True
29,01594950,0.9989047097480832,True
29,01596500,0.9282584884994524,True
29,01605500,0.5068455640744798,True
29,01606500,0.6678532311062432,True
29,01632000,0.9200438116100766,True
29,01632900,0.7981927710843374,True
29,01634500,0.8042168674698795,True
29,01638480,0.8811610076670318,True
29,01639500,0.6733296823658269,True
29,01644000,0.8953997809419496,True
29,01664000,0.9044359255202629,True
29,01666500,0.8250273822562979,True
29,01667500,0.7697152245345017,True
29,01669000,1.0,True
29,01669520,1.0,True
29,02011400,0.541894852135816,True
29,02013000,0.9178532311062432,True
29,02014000,0.8956736035049289,True
29,02015700,0.463855421686747,True
29,02016000,0.7472617743702081,True
29,02017500,0.7154983570646222,True
29,02018000,0.8228368017524644,True
29,02027000,0.6552573932092004,True
29,02027500,0.7026286966046003,True
29,02028500,0.8365279299014239,True
29,02038850,1.0,True
29,02046000,1.0,True
29,02051500,1.0,True
29,02053200,1.0,True
29,02053800,0.9197699890470975,True
29,02055100,0.9945235487404163,True
29,02056900,1.0,True
29,02059500,1.0,True
29,02064000,0.9997261774370209,True
29,02065500,1.0,True
29,02069700,0.9967141292442497,True
29,02070000,1.0,True
29,02074500,1.0,True
29,02077200,0.9937020810514786,True
29,02081500,1.0,True
29,02082950,1.0,True
29,02092500,0.9997261774370209,True
29,02096846,1.0,True
29,02102908,1.0,True
29,02108000,0.994249726177437,True
29,02111180,0.9931544359255202,True
29,02111500,0.9991785323110625,True
29,02112120,0.9627601314348302,True
29,02112360,0.9986308871851041,True
29,02118500,1.0,True
29,02125000,0.9956188389923329,True
29,02128000,1.0,True
29,02137727,0.9813800657174151,True
29,02140991,0.975355969331873,True
29,02143000,1.0,True
29,02143040,0.9967141292442497,True
29,02149000,0.9956188389923329,True
29,02152100,1.0,True
29,02177000,0.9359255202628697,True
29,02178400,0.8732201533406353,True
29,02193340,0.9972617743702081,True
29,02196000,1.0,True
29,02198100,0.7866922234392114,True
29,02202600,0.9978094194961665,True
29,02212600,1.0,True
29,02215100,0.8135268346111719,True
29,02216180,0.9975355969331873,True
29,02221525,1.0,True
29,02231000,1.0,True
29,02245500,1.0,True
29,02246000,1.0,True
29,02296500,1.0,True
29,02297155,1.0,True
29,02297310,1.0,True
29,02298123,1.0,True
29,02298608,1.0,True
29,02299950,1.0,True
29,02342933,0.982749178532311,True
29,02349900,0.8754107338444688,True
29,02350900,0.9950711938663745,True
29,02361000,0.9550930996714129,True
29,02369800,1.0,True
29,02371500,0.9991785323110625,True
29,02372250,0.9950711938663745,True
29,02374500,0.8406352683461117,True
29,02381600,0.8710295728368017,True
29,02384540,1.0,True
29,02395120,0.9808324205914567,True
29,02415000,0.9945235487404163,True
29,02427250,0.9986308871851041,True
29,02430085,0.9865826944140197,True
29,02450250,0.872946330777656,True
29,02464000,0.96960569550931,True
29,02464360,0.9433187294633077,True
29,02465493,0.9912376779846659,True
29,02469800,0.9917853231106243,True
29,02472000,0.9994523548740416,True
29,02472500,1.0,True
29,02479155,0.9991785323110625,True
29,02479300,1.0,True
29,02479560,1.0,True
29,02481000,1.0,True
29,02481510,1.0,True
29,04015330,1.0,True
29,04027000,1.0,True
29,04040500,1.0,True
29,04043050,0.4241511500547645,True
29,04045500,1.0,True
29,04057510,0.9997261774370209,True
29,04057800,0.6024096385542169,True
29,04059500,0.9997261774370209,True
29,04063700,1.0,True
29,04074950,1.0,True
29,04105700,0.6369112814895947,True
29,04115265,0.690854326396495,True
29,04122200,1.0,True
